element_id,type,x1,y1,z1,x2,y2,z2,length
122379883,drop,2.459,18.262,0.082,2.459,18.262,0.115,0.0
122379883,jumper,2.459,18.262,0.115,1.536,18.262,0.115,0.9
122403679,drop,-40.856,43.853,9.350,-40.856,43.853,9.941,0.6
122403679,jumper,-40.856,43.853,9.941,-40.856,40.576,9.941,3.3
122403870,drop,-32.982,51.727,9.350,-32.982,51.727,9.941,0.6
122403870,jumper,-32.982,51.727,9.941,-32.982,53.400,9.941,1.7
122404377,drop,-25.108,43.853,9.350,-25.108,43.853,9.941,0.6
122404377,jumper,-25.108,43.853,9.941,-22.482,43.853,9.941,2.6
122404378,drop,-17.234,51.727,9.350,-17.234,51.727,9.941,0.6
122404378,jumper,-17.234,51.727,9.941,-17.234,53.400,9.941,1.7
122404395,drop,-9.360,43.853,9.350,-9.360,43.853,9.941,0.6
122404395,jumper,-9.360,43.853,9.941,-9.360,40.576,9.941,3.3
122405596,drop,-66.431,39.883,9.360,-66.431,39.883,9.941,0.6
122405596,jumper,-66.431,39.883,9.941,-66.431,40.576,9.941,0.7
122405719,drop,-58.562,39.883,9.360,-58.562,39.883,9.941,0.6
122405719,jumper,-58.562,39.883,9.941,-58.562,40.576,9.941,0.7
122405821,drop,-50.688,39.883,9.360,-50.688,39.883,9.941,0.6
122405821,jumper,-50.688,39.883,9.941,-50.688,40.576,9.941,0.7
122406090,drop,-66.431,32.009,9.360,-66.431,32.009,9.941,0.6
122406090,jumper,-66.431,32.009,9.941,-66.431,30.399,9.941,1.6
122406092,drop,-58.562,32.009,9.360,-58.562,32.009,9.941,0.6
122406092,jumper,-58.562,32.009,9.941,-58.562,30.399,9.941,1.6
122406093,drop,-50.688,32.009,9.360,-50.688,32.009,9.941,0.6
122406093,jumper,-50.688,32.009,9.941,-50.688,30.399,9.941,1.6
122406103,drop,-66.436,24.135,9.360,-66.436,24.135,9.941,0.6
122406103,jumper,-66.436,24.135,9.941,-66.436,23.413,9.941,0.7
122406104,drop,-58.551,24.135,9.360,-58.551,24.135,9.941,0.6
122406104,jumper,-58.551,24.135,9.941,-58.551,23.413,9.941,0.7
122406105,drop,-50.688,24.135,9.360,-50.688,24.135,9.941,0.6
122406105,jumper,-50.688,24.135,9.941,-50.688,23.413,9.941,0.7
122408928,drop,-62.494,35.946,9.350,-62.494,35.946,9.941,0.6
122408928,jumper,-62.494,35.946,9.941,-63.437,35.946,9.941,0.9
122409016,drop,-62.494,28.072,9.350,-62.494,28.072,9.941,0.6
122409016,jumper,-62.494,28.072,9.941,-63.437,28.072,9.941,0.9
122409188,drop,-1.486,51.727,9.350,-1.486,51.727,9.941,0.6
122409188,jumper,-1.486,51.727,9.941,-1.486,53.400,9.941,1.7
122409386,drop,-19.222,14.292,9.350,-19.222,14.292,9.941,0.6
122409386,jumper,-19.222,14.292,9.941,-19.222,15.947,9.941,1.7
122409530,drop,-19.222,8.387,9.350,-19.222,8.387,9.941,0.6
122409530,jumper,-19.222,8.387,9.941,-19.222,6.419,9.941,2.0
122409599,drop,-9.396,14.292,9.350,-9.396,14.292,9.941,0.6
122409599,jumper,-9.396,14.292,9.941,-9.396,15.947,9.941,1.7
122409601,drop,-9.396,8.387,9.350,-9.396,8.387,9.941,0.6
122409601,jumper,-9.396,8.387,9.941,-9.396,6.419,9.941,2.0
122409611,drop,4.465,14.292,9.350,4.465,14.292,9.941,0.6
122409611,jumper,4.465,14.292,9.941,4.132,15.947,9.941,1.7
122409612,drop,4.465,8.387,9.350,4.465,8.387,9.941,0.6
122409612,jumper,4.465,8.387,9.941,4.465,6.419,9.941,2.0
122426784,drop,-24.305,23.259,4.044,-24.305,23.259,9.941,5.9
122426784,jumper,-24.305,23.259,9.941,-22.482,23.259,9.941,1.8
122428793,drop,-45.884,44.206,4.757,-45.884,44.206,0.115,4.6
122428793,jumper,-45.884,44.206,0.115,-47.215,44.206,0.115,1.3
122428989,drop,-58.049,17.903,4.757,-58.049,17.903,0.115,4.6
122428989,jumper,-58.049,17.903,0.115,-56.615,17.903,0.115,1.4
122429657,drop,-14.759,39.414,4.757,-14.759,39.414,9.941,5.2
122429657,jumper,-14.759,39.414,9.941,-14.759,40.576,9.941,1.2
122430316,drop,-4.960,30.286,4.757,-4.960,30.286,0.115,4.6
122430316,jumper,-4.960,30.286,0.115,-4.960,34.753,0.115,4.5
122432824,drop,-4.373,17.245,4.757,-4.373,17.245,9.941,5.2
122432824,jumper,-4.373,17.245,9.941,-4.373,15.947,9.941,1.3
123155286,drop,-62.494,32.009,9.350,-62.494,32.009,9.941,0.6
123155286,jumper,-62.494,32.009,9.941,-63.437,32.009,9.941,0.9
123156630,drop,-15.199,47.775,9.350,-15.199,47.775,9.941,0.6
